name,url,tree,brand,size,price,promotion,
Gold Sweet Potato 1kg,https://coldstorage.com.sg/sweet-potato-gold-australia-1kg-085959,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,1.0kg,$6.50,27% off
GARLIC (BKT),https://coldstorage.com.sg/garlic-bak-kut-teh-077679,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,400g,$3.45,
Potato Granola Local Indonesia,https://coldstorage.com.sg/potato-granola-local-indonesia-135012,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,-,750g,$3.20,
Red Onion Peeled,https://coldstorage.com.sg/onion-red-peeled-malaysia-135009,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,300g,$2.85,
Potato Mini Indonesia,https://coldstorage.com.sg/potato-mini-indonesia-098800,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,500g,$4.45,
Garlic Peeled China,https://coldstorage.com.sg/garlic-peeled-178008,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,80g,$1.95,
ALOE VERA PER PC,https://coldstorage.com.sg/aloe-vera-fresh-077907,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,200g,$2.60,
SHALLOTS 150G,https://coldstorage.com.sg/shallots-malaysia-135011,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,-,150g,$2.95,
Onion Yellow Tube France,https://coldstorage.com.sg/onion-yellow-tube-france-085390,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,500G,$6.95,
Russet Potato +/-2.2kg,https://coldstorage.com.sg/potato-russet-usa,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,DOLE,5LB,$6.99,
Beetroot Vietnam,https://coldstorage.com.sg/beetroot-161047,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,KG,$1.47 / 300g     ,
Chopped Garlic 250g,https://coldstorage.com.sg/minced-garlic-073790,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,JIA JIA WANG,250G,$2.65,
Garlic White Daniel ,https://coldstorage.com.sg/garlic-white-daniel-france-090900,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,-,250g,$5.45,
Garlic Rose France,https://coldstorage.com.sg/garlic-rose-250g-076709,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,250G,$5.45,
True Blue Washed Potatoes,https://coldstorage.com.sg/potato-true-blue-168432,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,PEMBERTON,750G,$4.90,10% off
Flavourful Cream Washed Potatoes,https://coldstorage.com.sg/potato-cream-168431,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,PEMBERTON,750G,$4.90,10% off
Premium Red Washed Potatoes,https://coldstorage.com.sg/potato-premium-red-168430,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,PEMBERTON,750G,$4.90,10% off
Onion Red Tube France,https://coldstorage.com.sg/onion-red-tube-france-085391,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,500G,$6.95,
Shallots In Net France,https://coldstorage.com.sg/shallots-in-net-france-035512,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,500G,$4.95,
Chopped Garlic 500g,https://coldstorage.com.sg/jj-minces-garlic-074374,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,500G,$3.85,
LOTUS SEED,https://coldstorage.com.sg/lotus-seed-070209,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,100g,$1.65,
Turnip Swede Australia,https://coldstorage.com.sg/turnip-swede-aust-161050,fruits-vegetables/fresh-vegetables/potatoes-onions-roots,,KG,$16.90,
